Date,X3.Mo,X10.Yr
3/11/1983,8.56,10.59
3/14/1983,8.51,10.48
3/15/1983,8.55,10.46
3/16/1983,8.61,10.53
3/17/1983,8.63,10.56
3/18/1983,8.74,10.58
3/21/1983,8.8,10.6
3/22/1983,8.93,10.62
3/23/1983,8.78,10.58
3/24/1983,8.83,10.58
3/25/1983,9,10.64
3/28/1983,9.01,10.66
3/29/1983,8.97,10.6
3/30/1983,8.98,10.59
3/31/1983,8.96,10.62
4/1/1983,.,.
4/4/1983,8.97,10.6
4/5/1983,8.8,10.49
4/6/1983,8.72,10.49
4/7/1983,8.68,10.51
4/8/1983,8.63,10.51
4/11/1983,8.45,10.41
4/12/1983,8.49,10.42
4/13/1983,8.48,10.39
4/14/1983,8.42,10.29
4/15/1983,8.43,10.33
4/18/1983,8.36,10.29
4/19/1983,8.47,10.39
4/20/1983,8.4,10.39
4/21/1983,8.44,10.43
4/22/1983,8.44,10.42
4/25/1983,8.44,10.4
4/26/1983,8.45,10.37
4/27/1983,8.41,10.29
4/28/1983,8.41,10.31
4/29/1983,8.38,10.27
5/2/1983,8.33,10.26
5/3/1983,8.33,10.26
5/4/1983,8.3,10.12
5/5/1983,8.34,10.16
5/6/1983,8.26,10.13
5/9/1983,8.43,10.25
5/10/1983,8.3,10.16
5/11/1983,8.25,10.18
5/12/1983,8.35,10.23
5/13/1983,8.3,10.22
5/16/1983,8.45,10.37
5/17/1983,8.44,10.41
5/18/1983,8.42,10.43
5/19/1983,8.46,10.49
5/20/1983,8.48,10.54
5/23/1983,8.73,10.57
5/24/1983,8.8,10.56
5/25/1983,8.82,10.58
5/26/1983,8.85,10.63
5/27/1983,8.8,10.62
5/30/1983,.,.
5/31/1983,8.97,10.81
6/1/1983,8.92,10.77
6/2/1983,8.84,10.78
6/3/1983,8.87,10.79
6/6/1983,8.96,10.79
6/7/1983,9.17,10.85
6/8/1983,9.18,10.92
6/9/1983,9.08,10.88
6/10/1983,9.11,10.89
6/13/1983,9.03,10.75
6/14/1983,9.06,10.77
6/15/1983,9.06,10.72
6/16/1983,8.99,10.64
6/17/1983,9.01,10.68
6/20/1983,9.32,10.8
6/21/1983,9.32,10.79
6/22/1983,9.35,10.83
6/23/1983,9.31,10.9
6/24/1983,9.42,11.02
6/27/1983,9.38,11.11
6/28/1983,9.34,11.04
6/29/1983,9.2,10.99
6/30/1983,9.15,10.96
7/1/1983,9.05,10.93
7/4/1983,.,.
7/5/1983,9.36,11.21
7/6/1983,9.38,11.16
7/7/1983,9.49,11.29
7/8/1983,9.48,11.33
7/11/1983,9.42,11.28
7/12/1983,9.52,11.42
7/13/1983,9.47,11.4
7/14/1983,9.46,11.38
7/15/1983,9.59,11.51
7/18/1983,9.47,11.41
7/19/1983,9.51,11.36
7/20/1983,9.44,11.28
7/21/1983,9.44,11.32
7/22/1983,9.45,11.43
7/25/1983,9.43,11.41
7/26/1983,9.47,11.49
7/27/1983,9.43,11.51
7/28/1983,9.54,11.66
7/29/1983,9.59,11.76
8/1/1983,9.63,11.8
8/2/1983,9.89,11.82
8/3/1983,9.78,11.92
8/4/1983,9.86,12.12
8/5/1983,9.83,12.1
8/8/1983,9.89,12.2
8/9/1983,9.94,12.13
8/10/1983,9.97,12.17
8/11/1983,9.98,12.04
8/12/1983,9.9,11.96
8/15/1983,9.83,11.76
8/16/1983,9.83,11.71
8/17/1983,9.73,11.65
8/18/1983,9.68,11.7
8/19/1983,9.7,11.72
8/22/1983,9.54,11.54
8/23/1983,9.56,11.57
8/24/1983,9.49,11.54
8/25/1983,9.48,11.62
8/26/1983,9.54,11.65
8/29/1983,9.62,11.86
8/30/1983,9.69,11.9
8/31/1983,9.64,11.98
9/1/1983,9.58,11.97
9/2/1983,9.63,12.01
9/5/1983,.,.
9/6/1983,9.59,11.85
9/7/1983,9.49,11.7
9/8/1983,9.48,11.77
9/9/1983,9.54,11.73
9/12/1983,9.39,11.56
9/13/1983,9.46,11.63
9/14/1983,9.47,11.76
9/15/1983,9.46,11.82
9/16/1983,9.43,11.68
9/19/1983,9.34,11.66
9/20/1983,9.32,11.57
9/21/1983,9.33,11.64
9/22/1983,9.33,11.6
9/23/1983,9.22,11.49
9/26/1983,9.05,11.41
9/27/1983,9.08,11.45
9/28/1983,9.12,11.49
9/29/1983,9.24,11.5
9/30/1983,9.04,11.44
10/3/1983,9.13,11.47
10/4/1983,9,11.46
10/5/1983,9.01,11.35
10/6/1983,8.97,11.31
10/7/1983,8.94,11.33
10/10/1983,.,.
10/11/1983,9.16,11.57
10/12/1983,9.14,11.59
10/13/1983,9.16,11.65
10/14/1983,9.12,11.58
10/17/1983,8.88,11.47
10/18/1983,8.85,11.49
10/19/1983,8.84,11.49
10/20/1983,8.88,11.47
10/21/1983,8.87,11.43
10/24/1983,9.03,11.66
10/25/1983,9,11.7
10/26/1983,9,11.72
10/27/1983,8.99,11.66
10/28/1983,8.96,11.68
10/31/1983,8.83,11.74
11/1/1983,8.8,11.69
11/2/1983,8.82,11.7
11/3/1983,8.97,11.75
11/4/1983,9.14,11.85
11/7/1983,9.14,11.85
11/8/1983,.,.
11/9/1983,9.13,11.84
11/10/1983,9.09,11.71
11/11/1983,.,.
11/14/1983,9.12,11.68
11/15/1983,9.13,11.7
11/16/1983,9.14,11.7
11/17/1983,9.2,11.72
11/18/1983,9.2,11.72
11/21/1983,9.12,11.65
11/22/1983,9.12,11.57
11/23/1983,9.16,11.59
11/24/1983,.,.
11/25/1983,9.12,11.55
11/28/1983,9.25,11.63
11/29/1983,9.22,11.58
11/30/1983,9.24,11.63
12/1/1983,9.27,11.63
12/2/1983,9.28,11.75
12/5/1983,9.29,11.78
12/6/1983,9.3,11.76
12/7/1983,9.31,11.79
12/8/1983,9.38,11.89
12/9/1983,9.34,11.9
12/12/1983,9.31,11.87
12/13/1983,9.46,11.95
12/14/1983,9.48,11.97
12/15/1983,9.53,11.96
12/16/1983,9.47,11.88
12/19/1983,9.45,11.87
12/20/1983,9.41,11.86
12/21/1983,9.36,11.83
12/22/1983,9.25,11.77
12/23/1983,9.32,11.79
12/26/1983,.,.
12/27/1983,9.29,11.75
12/28/1983,9.34,11.81
12/29/1983,9.34,11.79
12/30/1983,9.33,11.82
1/2/1984,.,.
1/3/1984,9.35,11.86
1/4/1984,9.34,11.78
1/5/1984,9.29,11.77
1/6/1984,9.22,11.73
1/9/1984,9.25,11.75
1/10/1984,9.27,11.71
1/11/1984,9.3,11.76
1/12/1984,9.29,11.76
1/13/1984,9.08,11.59
1/16/1984,9.11,11.54
1/17/1984,9.24,11.57
1/18/1984,9.27,11.61
1/19/1984,9.25,11.6
1/20/1984,9.32,11.64
1/23/1984,9.3,11.63
1/24/1984,9.29,11.63
1/25/1984,9.3,11.64
1/26/1984,9.29,11.63
1/27/1984,9.28,11.63
1/30/1984,9.24,11.66
1/31/1984,9.26,11.67
2/1/1984,9.25,11.64
2/2/1984,9.27,11.6
2/3/1984,9.32,11.6
2/6/1984,9.5,11.7
2/7/1984,9.43,11.71
2/8/1984,9.47,11.72
2/9/1984,9.4,11.73
2/10/1984,9.43,11.83
2/13/1984,.,.
2/14/1984,9.43,11.85
2/15/1984,9.44,11.81
2/16/1984,9.44,11.83
2/17/1984,9.53,11.92
2/20/1984,.,.
2/21/1984,9.5,11.91
2/22/1984,9.51,11.93
2/23/1984,9.64,12.05
